orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
13.61014819,2.594,5732.9,19.02,0.192842,5697.0,0.903,0.857,68.29,733.0,CANDIDATE,Kepler
10.44331991,2.743,1159.8,2.66,0.030416,4947.0,0.802,0.769,46.94,667.0,FALSE POSITIVE,Kepler
2.237489571,1.8119,315.8,1.41,0.015942,5265.0,0.81,0.91,427.17,1160.0,CONFIRMED,Kepler
5.851520671,3.11058,33004.0,14.62,0.166109,5532.0,0.806,0.804,155.89,901.0,FALSE POSITIVE,Kepler
3.167893418,2.1814,781.2,2.62,0.025513,5895.0,0.94,1.026,526.23,1221.0,CONFIRMED,Kepler
4.311780262,2.7251,1154.0,3.11,0.030716,5527.0,0.927,0.956,274.84,1038.0,CONFIRMED,Kepler
20.0504494,4.556,840.9,2.69,0.026569,5527.0,0.927,0.956,35.44,622.0,CONFIRMED,Kepler
9.76734503,1.6585,569.1,2.67,0.026407,5527.0,0.927,0.956,92.46,791.0,CONFIRMED,Kepler
119.0207044,8.1405,7430.5,8.98,0.077431,5453.0,1.062,0.904,4.25,366.0,CANDIDATE,Kepler
190.3200468,15.284,1141.7,7.78,0.034654,5626.0,2.057,1.247,7.8,426.0,CONFIRMED,Kepler
2.861159894,1.8832,1014.3,4.37,0.039171,6126.0,1.021,1.09,797.1,1355.0,FALSE POSITIVE,Kepler
26.44439337,3.9783,1843.5,3.91,0.038511,5427.0,0.929,0.915,23.54,562.0,CONFIRMED,Kepler
51.53997972,6.3994,3644.3,5.51,0.05435,5427.0,0.929,0.915,9.67,450.0,CONFIRMED,Kepler
5.902245782,2.9003,702.3,2.43,0.023909,5427.0,0.929,0.915,173.74,926.0,CONFIRMED,Kepler
2.382951591,1.8876,391.6,1.86,0.018369,5427.0,0.929,0.915,583.01,1253.0,CONFIRMED,Kepler
21.02250608,4.1072,1772.5,3.07,0.037466,5067.0,0.75,0.789,17.48,521.0,CONFIRMED,Kepler
3.219814777,2.0642,488.2,1.69,0.019702,5103.0,0.787,0.823,234.93,998.0,CONFIRMED,Kepler
5.912273234,2.3254,961.4,1.73,0.027826,4072.0,0.57,0.586,27.72,585.0,CONFIRMED,Kepler
